Name,@Icon
Affected population,affected-population.png
Agriculture,agriculture.png
Avalanche,snow-avalanche.png
CCCM,camp-coordination-and-camp-management.png
Cold wave,cold-wave.png
Conflict,conflict.png
Coordination,coordination.png
Covid-19,covid-19.png
Cyclone,cyclone.png
Cyclones,cyclone.png
Demining,mine.png
Early recovery,early-recovery.png
Economic,trade-and-market.png
Education,education.png
Environment,environment.png
Epidemic,epidemic.png
ETC,emergency-telecommunications.png
Fire,fire.png
Flash flood,flash-flood.png
Flood,flood.png
Health,health.png
Heatwave,heatwave.png
Heavy rain,heavy-rain.png
Humanitarian access,humanitarian-access.png
Insect infestation,insect-infestation.png
Internally displaced,internally-displaced.png
Landslide,landslide-mudslide.png
Locusts,locust-infestation.png
Logistics,logistics.png
Mudslide,landslide-mudslide.png
Multi-cluster,multi-cluster-sector.png
Needs assessment,needs-assessment.png
Nutrition,nutrition.png
Protection,protection.png
Refugee,refugee.png
Search and rescue,search-and-rescue.png
Shelter,shelter.png
Snowfall,snowfall.png
Storm,storm.png
Storm surge,storm-surge.png
Tornado,tornado.png
Training,training.png
Tsunami,tsunami.png
Urban,urban.png
Violent wind,violent-wind.png
Volcano,volcano.png
WASH,water-sanitation-and-hygiene.png
Worm infestation,worm-infestation.png
Hurricane,cyclone.png
Hurricanes,cyclone.png
Typhoon,cyclone.png
Typhoons,cyclone.png
